"Frequency (/s)","Img: unnamed","Real: unnamed"
200.99817272727273,-9.847299422493517E-5,-1.513460246988745E-4
201.99816363636364,-9.916016179267834E-5,-1.5131381807051875E-4
202.99815454545455,-9.98532705219041E-5,-1.5128220944379364E-4
203.99814545454547,-1.0055249450087849E-4,-1.51251239387677E-4
204.99813636363638,-1.01258014678496E-4,-1.512209506300827E-4
205.99812727272726,-1.0197001921253699E-4,-1.51191388188914E-4
206.99811818181817,-1.0268870383718682E-4,-1.5116259951428336E-4
207.99810909090908,-1.0341427225692288E-4,-1.5113463464002947E-4
208.9981,-1.0414693656208249E-4,-1.511075463460257E-4
209.9980909090909,-1.0488691767379809E-4,-1.5108139033236434E-4
210.99808181818182,-1.0563444581566176E-4,-1.5105622540739015E-4
211.99807272727273,-1.0638976101874359E-4,-1.5103211368812621E-4
212.99806363636364,-1.0715311365712803E-4,-1.5100912081671028E-4
213.99805454545455,-1.079247650232758E-4,-1.509873161933393E-4
214.99804545454546,-1.087049879381546E-4,-1.5096677322608292E-4
215.99803636363637,-1.0949406740767443E-4,-1.509475696022676E-4
216.99802727272728,-1.1029230132196672E-4,-1.509297875780349E-4
217.99801818181817,-1.1110000120533003E-4,-1.5091351429345867E-4
218.99800909090908,-1.1191749301935113E-4,-1.508988421116283E-4
219.998,-1.1274511802359406E-4,-1.5088586898568838E-4
220.9979909090909,-1.1358323370225092E-4,-1.5087469885697894E-4
221.9979818181818,-1.1443221475614241E-4,-1.508654420817135E-4
222.99797272727272,-1.1529245416933481E-4,-1.5085821590050347E-4
223.99796363636364,-1.1616436436176872E-4,-1.5085314494277713E-4
224.99795454545455,-1.1704837842596214E-4,-1.5085036177469132E-4
225.99794545454546,-1.1794495146240959E-4,-1.5085000749872756E-4
226.99793636363637,-1.1885456202301042E-4,-1.5085223239945568E-4
227.99792727272728,-1.1977771366765368E-4,-1.5085719665485812E-4
228.9979181818182,-1.2071493665099563E-4,-1.508650711048426E-4
229.99790909090908,-1.2166678974697815E-4,-1.508760380951901E-4
230.9979,-1.2263386222912038E-4,-1.5089029239667617E-4
231.9978909090909,-1.236167760185616E-4,-1.5090804221301919E-4
232.9978818181818,-1.2461618801926658E-4,-1.5092951028257176E-4
233.99787272727272,-1.2563279265896492E-4,-1.5095493508864865E-4
234.99786363636363,-1.266673246579486E-4,-1.5098457218758958E-4
235.99785454545454,-1.2772056204872405E-4,-1.510186956688633E-4
236.99784545454546,-1.2879332947668548E-4,-1.5105759976306654E-4
237.99783636363637,-1.2988650180895882E-4,-1.5110160061412024E-4
238.99782727272728,-1.3100100808977993E-4,-1.5115103823674228E-4
239.9978181818182,-1.3213783587970017E-4,-1.5120627867929977E-4
240.9978090909091,-1.3329803602326286E-4,-1.5126771642012484E-4
